===== [2026年 08月 27日 星期四 15:17:14 CST] baseline 开始 =====
[2026-08-27 15:17:21,269][numexpr.utils][INFO] - Note: NumExpr detected 48 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 16.
[2026-08-27 15:17:21,269][numexpr.utils][INFO] - NumExpr defaulting to 16 threads.
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
 Loading weights:   0%|          | 0/617 [00:00<?, ?it/s] Loading weights:  38%|███▊      | 233/617 [00:00<00:00, 2328.51it/s] Loading weights:  78%|███████▊  | 483/617 [00:00<00:00, 2426.21it/s] Loading weights: 100%|██████████| 617/617 [00:00<00:00, 2587.05it/s]
[2026-08-27 15:17:28,397][httpx][INFO] - HTTP Request: HEAD https://hf-mirror.com/datasets/lmms-lab-encoder/MMBench/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"
[2026-08-27 15:17:28,562][httpx][INFO] - HTTP Request: HEAD https://hf-mirror.com/api/resolve-cache/datasets/lmms-lab-encoder/MMBench/56ba1af8954932c4804bd3f522e05ed96e63b654/README.md "HTTP/1.1 200 OK"
[2026-08-27 15:17:28,877][httpx][INFO] - HTTP Request: HEAD https://hf-mirror.com/datasets/lmms-lab-encoder/MMBench/resolve/56ba1af8954932c4804bd3f522e05ed96e63b654/MMBench.py "HTTP/1.1 404 Not Found"
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[2026-08-27 15:17:28,878][huggingface_hub.utils._http][WARNING] - Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[2026-08-27 15:17:29,650][httpx][INFO] - HTTP Request: HEAD https://s3.amazonaws.com/datasets.huggingface.co/datasets/datasets/lmms-lab-encoder/MMBench/lmms-lab-encoder/MMBench.py "HTTP/1.1 404 Not Found"
[2026-08-27 15:17:30,990][httpx][INFO] - HTTP Request: GET https://hf-mirror.com/api/datasets/lmms-lab-encoder/MMBench/revision/56ba1af8954932c4804bd3f522e05ed96e63b654 "HTTP/1.1 200 OK"
[2026-08-27 15:17:31,254][httpx][INFO] - HTTP Request: HEAD https://hf-mirror.com/datasets/lmms-lab-encoder/MMBench/resolve/56ba1af8954932c4804bd3f522e05ed96e63b654/.huggingface.yaml "HTTP/1.1 404 Not Found"
[2026-08-27 15:17:32,515][httpx][INFO] - HTTP Request: GET https://hf-mirror.com/api/datasets/lmms-lab-encoder/MMBench/tree/56ba1af8954932c4804bd3f522e05ed96e63b654/cc?recursive=true&expand=false "HTTP/1.1 200 OK"
[2026-08-27 15:17:32,931][httpx][INFO] - HTTP Request: GET https://hf-mirror.com/api/datasets/lmms-lab-encoder/MMBench/tree/56ba1af8954932c4804bd3f522e05ed96e63b654?recursive=false&expand=false "HTTP/1.1 200 OK"
[2026-08-27 15:17:33,502][httpx][INFO] - HTTP Request: HEAD https://hf-mirror.com/datasets/lmms-lab-encoder/MMBench/resolve/56ba1af8954932c4804bd3f522e05ed96e63b654/dataset_infos.json "HTTP/1.1 404 Not Found"
[2026-08-27 15:17:33,891][httpx][INFO] - HTTP Request: GET https://hf-mirror.com/api/datasets/lmms-lab-encoder/MMBench/tree/56ba1af8954932c4804bd3f522e05ed96e63b654/cn?recursive=true&expand=false "HTTP/1.1 200 OK"
Model: /home/jxy/TTL/Qwen3.5-2B
Strategy: none (online.enabled=False), backend=hf, enable_thinking=False
Dataset: lmms-lab-encoder/MMBench cn dev, n=4329
[2026-08-27 16:37:47,638][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1260 path=outputs/online_tta/online_tta_adapters/tta_v1260
[1260/4329] acc=0.6810 pred=C gold=A loss=0.0005958485417068005 (1.7s/sample)
[2026-08-27 16:37:49,256][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1261 path=outputs/online_tta/online_tta_adapters/tta_v1261
[2026-08-27 16:37:50,865][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1262 path=outputs/online_tta/online_tta_adapters/tta_v1262
[2026-08-27 16:37:52,463][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1263 path=outputs/online_tta/online_tta_adapters/tta_v1263
[2026-08-27 16:37:54,092][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1264 path=outputs/online_tta/online_tta_adapters/tta_v1264
[2026-08-27 16:37:55,723][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1265 path=outputs/online_tta/online_tta_adapters/tta_v1265
[2026-08-27 16:37:57,387][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1266 path=outputs/online_tta/online_tta_adapters/tta_v1266
[2026-08-27 16:37:59,200][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1267 path=outputs/online_tta/online_tta_adapters/tta_v1267
[2026-08-27 16:38:00,912][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1268 path=outputs/online_tta/online_tta_adapters/tta_v1268
[2026-08-27 16:38:02,578][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1269 path=outputs/online_tta/online_tta_adapters/tta_v1269
[2026-08-27 16:38:04,221][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1270 path=outputs/online_tta/online_tta_adapters/tta_v1270
[2026-08-27 16:38:05,858][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1271 path=outputs/online_tta/online_tta_adapters/tta_v1271
[2026-08-27 16:38:07,543][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1272 path=outputs/online_tta/online_tta_adapters/tta_v1272
[2026-08-27 16:38:09,172][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1273 path=outputs/online_tta/online_tta_adapters/tta_v1273
[2026-08-27 16:38:10,792][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1274 path=outputs/online_tta/online_tta_adapters/tta_v1274
[2026-08-27 16:38:12,399][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1275 path=outputs/online_tta/online_tta_adapters/tta_v1275
[2026-08-27 16:38:14,025][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1276 path=outputs/online_tta/online_tta_adapters/tta_v1276
[2026-08-27 16:38:15,772][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1277 path=outputs/online_tta/online_tta_adapters/tta_v1277
[2026-08-27 16:38:17,422][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1278 path=outputs/online_tta/online_tta_adapters/tta_v1278
[2026-08-27 16:38:19,048][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1279 path=outputs/online_tta/online_tta_adapters/tta_v1279
[2026-08-27 16:38:20,831][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1280 path=outputs/online_tta/online_tta_adapters/tta_v1280
[1280/4329] acc=0.6773 pred=B gold=B loss=1.2501043784141075e-05 (1.7s/sample)
[2026-08-27 16:38:22,538][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1281 path=outputs/online_tta/online_tta_adapters/tta_v1281
[2026-08-27 16:38:24,238][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1282 path=outputs/online_tta/online_tta_adapters/tta_v1282
[2026-08-27 16:38:25,938][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1283 path=outputs/online_tta/online_tta_adapters/tta_v1283
[2026-08-27 16:38:27,719][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1284 path=outputs/online_tta/online_tta_adapters/tta_v1284
[2026-08-27 16:38:29,455][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1285 path=outputs/online_tta/online_tta_adapters/tta_v1285
[2026-08-27 16:38:31,207][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1286 path=outputs/online_tta/online_tta_adapters/tta_v1286
[2026-08-27 16:38:32,815][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1287 path=outputs/online_tta/online_tta_adapters/tta_v1287
[2026-08-27 16:38:34,560][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1288 path=outputs/online_tta/online_tta_adapters/tta_v1288
[2026-08-27 16:38:36,316][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1289 path=outputs/online_tta/online_tta_adapters/tta_v1289
[2026-08-27 16:38:38,113][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1290 path=outputs/online_tta/online_tta_adapters/tta_v1290
[2026-08-27 16:38:39,987][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1291 path=outputs/online_tta/online_tta_adapters/tta_v1291
[2026-08-27 16:38:41,790][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1292 path=outputs/online_tta/online_tta_adapters/tta_v1292
[2026-08-27 16:38:43,559][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1293 path=outputs/online_tta/online_tta_adapters/tta_v1293
[2026-08-27 16:38:45,423][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1294 path=outputs/online_tta/online_tta_adapters/tta_v1294
[2026-08-27 16:38:46,978][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1295 path=outputs/online_tta/online_tta_adapters/tta_v1295
[2026-08-27 16:38:48,897][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1296 path=outputs/online_tta/online_tta_adapters/tta_v1296
[2026-08-27 16:38:50,592][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1297 path=outputs/online_tta/online_tta_adapters/tta_v1297
[2026-08-27 16:38:52,293][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1298 path=outputs/online_tta/online_tta_adapters/tta_v1298
[2026-08-27 16:38:54,013][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1299 path=outputs/online_tta/online_tta_adapters/tta_v1299
[2026-08-27 16:38:55,721][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1300 path=outputs/online_tta/online_tta_adapters/tta_v1300
[1300/4329] acc=0.6746 pred=B gold=B loss=1.3590169146482367e-05 (1.7s/sample)
[2026-08-27 16:38:57,602][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1301 path=outputs/online_tta/online_tta_adapters/tta_v1301
[2026-08-27 16:38:59,335][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1302 path=outputs/online_tta/online_tta_adapters/tta_v1302
[2026-08-27 16:39:01,429][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1303 path=outputs/online_tta/online_tta_adapters/tta_v1303
[2026-08-27 16:39:03,115][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1304 path=outputs/online_tta/online_tta_adapters/tta_v1304
[2026-08-27 16:39:04,891][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1305 path=outputs/online_tta/online_tta_adapters/tta_v1305
[2026-08-27 16:39:06,588][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1306 path=outputs/online_tta/online_tta_adapters/tta_v1306
[2026-08-27 16:39:08,310][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1307 path=outputs/online_tta/online_tta_adapters/tta_v1307
[2026-08-27 16:39:10,020][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1308 path=outputs/online_tta/online_tta_adapters/tta_v1308
[2026-08-27 16:39:11,765][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1309 path=outputs/online_tta/online_tta_adapters/tta_v1309
[2026-08-27 16:39:13,363][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1310 path=outputs/online_tta/online_tta_adapters/tta_v1310
[2026-08-27 16:39:14,930][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1311 path=outputs/online_tta/online_tta_adapters/tta_v1311
[2026-08-27 16:39:16,522][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1312 path=outputs/online_tta/online_tta_adapters/tta_v1312
[2026-08-27 16:39:18,040][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1313 path=outputs/online_tta/online_tta_adapters/tta_v1313
[2026-08-27 16:39:19,625][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1314 path=outputs/online_tta/online_tta_adapters/tta_v1314
[2026-08-27 16:39:21,230][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1315 path=outputs/online_tta/online_tta_adapters/tta_v1315
[2026-08-27 16:39:22,825][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1316 path=outputs/online_tta/online_tta_adapters/tta_v1316
[2026-08-27 16:39:24,321][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1317 path=outputs/online_tta/online_tta_adapters/tta_v1317
[2026-08-27 16:39:25,946][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1318 path=outputs/online_tta/online_tta_adapters/tta_v1318
[2026-08-27 16:39:27,544][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1319 path=outputs/online_tta/online_tta_adapters/tta_v1319
[2026-08-27 16:39:29,300][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1320 path=outputs/online_tta/online_tta_adapters/tta_v1320
[1320/4329] acc=0.6705 pred=D gold=B loss=1.2502655408752616e-05 (1.7s/sample)
[2026-08-27 16:39:31,145][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1321 path=outputs/online_tta/online_tta_adapters/tta_v1321
[2026-08-27 16:39:32,860][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1322 path=outputs/online_tta/online_tta_adapters/tta_v1322
[2026-08-27 16:39:34,573][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1323 path=outputs/online_tta/online_tta_adapters/tta_v1323
[2026-08-27 16:39:36,270][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1324 path=outputs/online_tta/online_tta_adapters/tta_v1324
[2026-08-27 16:39:37,886][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1325 path=outputs/online_tta/online_tta_adapters/tta_v1325
[2026-08-27 16:39:39,523][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1326 path=outputs/online_tta/online_tta_adapters/tta_v1326
[2026-08-27 16:39:41,154][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1327 path=outputs/online_tta/online_tta_adapters/tta_v1327
[2026-08-27 16:39:42,890][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1328 path=outputs/online_tta/online_tta_adapters/tta_v1328
[2026-08-27 16:39:44,494][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1329 path=outputs/online_tta/online_tta_adapters/tta_v1329
[2026-08-27 16:39:46,317][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1330 path=outputs/online_tta/online_tta_adapters/tta_v1330
[2026-08-27 16:39:48,052][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1331 path=outputs/online_tta/online_tta_adapters/tta_v1331
[2026-08-27 16:39:49,696][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1332 path=outputs/online_tta/online_tta_adapters/tta_v1332
[2026-08-27 16:39:51,435][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1333 path=outputs/online_tta/online_tta_adapters/tta_v1333
[2026-08-27 16:39:53,183][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1334 path=outputs/online_tta/online_tta_adapters/tta_v1334
[2026-08-27 16:39:54,801][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1335 path=outputs/online_tta/online_tta_adapters/tta_v1335
[2026-08-27 16:39:56,453][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1336 path=outputs/online_tta/online_tta_adapters/tta_v1336
[2026-08-27 16:39:58,112][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1337 path=outputs/online_tta/online_tta_adapters/tta_v1337
[2026-08-27 16:39:59,767][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1338 path=outputs/online_tta/online_tta_adapters/tta_v1338
[2026-08-27 16:40:01,406][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1339 path=outputs/online_tta/online_tta_adapters/tta_v1339
[2026-08-27 16:40:03,066][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1340 path=outputs/online_tta/online_tta_adapters/tta_v1340
[1340/4329] acc=0.6642 pred=B gold=C loss=1.5885752873145975e-05 (1.7s/sample)
[2026-08-27 16:40:04,720][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1341 path=outputs/online_tta/online_tta_adapters/tta_v1341
[2026-08-27 16:40:06,400][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1342 path=outputs/online_tta/online_tta_adapters/tta_v1342
[2026-08-27 16:40:08,055][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1343 path=outputs/online_tta/online_tta_adapters/tta_v1343
[2026-08-27 16:40:09,723][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1344 path=outputs/online_tta/online_tta_adapters/tta_v1344
[2026-08-27 16:40:11,367][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1345 path=outputs/online_tta/online_tta_adapters/tta_v1345
[2026-08-27 16:40:12,985][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1346 path=outputs/online_tta/online_tta_adapters/tta_v1346
[2026-08-27 16:40:14,761][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1347 path=outputs/online_tta/online_tta_adapters/tta_v1347
[2026-08-27 16:40:16,472][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1348 path=outputs/online_tta/online_tta_adapters/tta_v1348
[2026-08-27 16:40:18,125][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1349 path=outputs/online_tta/online_tta_adapters/tta_v1349
[2026-08-27 16:40:19,757][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1350 path=outputs/online_tta/online_tta_adapters/tta_v1350
[2026-08-27 16:40:21,485][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1351 path=outputs/online_tta/online_tta_adapters/tta_v1351
[2026-08-27 16:40:23,209][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1352 path=outputs/online_tta/online_tta_adapters/tta_v1352
[2026-08-27 16:40:25,032][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1353 path=outputs/online_tta/online_tta_adapters/tta_v1353
[2026-08-27 16:40:26,584][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1354 path=outputs/online_tta/online_tta_adapters/tta_v1354
[2026-08-27 16:40:28,377][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1355 path=outputs/online_tta/online_tta_adapters/tta_v1355
[2026-08-27 16:40:30,108][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1356 path=outputs/online_tta/online_tta_adapters/tta_v1356
[2026-08-27 16:40:31,896][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1357 path=outputs/online_tta/online_tta_adapters/tta_v1357
[2026-08-27 16:40:33,619][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1358 path=outputs/online_tta/online_tta_adapters/tta_v1358
[2026-08-27 16:40:35,331][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1359 path=outputs/online_tta/online_tta_adapters/tta_v1359
[2026-08-27 16:40:37,063][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1360 path=outputs/online_tta/online_tta_adapters/tta_v1360
[1360/4329] acc=0.6566 pred=D gold=C loss=1.595637877471745e-05 (1.7s/sample)
[2026-08-27 16:40:38,787][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1361 path=outputs/online_tta/online_tta_adapters/tta_v1361
[2026-08-27 16:40:40,528][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1362 path=outputs/online_tta/online_tta_adapters/tta_v1362
[2026-08-27 16:40:42,252][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1363 path=outputs/online_tta/online_tta_adapters/tta_v1363
[2026-08-27 16:40:44,064][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1364 path=outputs/online_tta/online_tta_adapters/tta_v1364
[2026-08-27 16:40:45,901][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1365 path=outputs/online_tta/online_tta_adapters/tta_v1365
[2026-08-27 16:40:47,615][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1366 path=outputs/online_tta/online_tta_adapters/tta_v1366
[2026-08-27 16:40:49,420][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1367 path=outputs/online_tta/online_tta_adapters/tta_v1367
[2026-08-27 16:40:51,107][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1368 path=outputs/online_tta/online_tta_adapters/tta_v1368
[2026-08-27 16:40:52,893][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1369 path=outputs/online_tta/online_tta_adapters/tta_v1369
[2026-08-27 16:40:54,699][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1370 path=outputs/online_tta/online_tta_adapters/tta_v1370
[2026-08-27 16:40:56,290][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1371 path=outputs/online_tta/online_tta_adapters/tta_v1371
[2026-08-27 16:40:58,100][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1372 path=outputs/online_tta/online_tta_adapters/tta_v1372
[2026-08-27 16:40:59,827][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1373 path=outputs/online_tta/online_tta_adapters/tta_v1373
[2026-08-27 16:41:01,572][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1374 path=outputs/online_tta/online_tta_adapters/tta_v1374
[2026-08-27 16:41:03,289][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1375 path=outputs/online_tta/online_tta_adapters/tta_v1375
[2026-08-27 16:41:05,028][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1376 path=outputs/online_tta/online_tta_adapters/tta_v1376
[2026-08-27 16:41:06,785][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1377 path=outputs/online_tta/online_tta_adapters/tta_v1377
[2026-08-27 16:41:08,576][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1378 path=outputs/online_tta/online_tta_adapters/tta_v1378
[2026-08-27 16:41:10,280][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1379 path=outputs/online_tta/online_tta_adapters/tta_v1379
[2026-08-27 16:41:12,003][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1380 path=outputs/online_tta/online_tta_adapters/tta_v1380
[1380/4329] acc=0.6478 pred=D gold=B loss=1.173548025690252e-05 (1.7s/sample)
[2026-08-27 16:41:13,807][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1381 path=outputs/online_tta/online_tta_adapters/tta_v1381
[2026-08-27 16:41:15,662][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1382 path=outputs/online_tta/online_tta_adapters/tta_v1382
[2026-08-27 16:41:17,404][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1383 path=outputs/online_tta/online_tta_adapters/tta_v1383
[2026-08-27 16:41:19,163][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1384 path=outputs/online_tta/online_tta_adapters/tta_v1384
[2026-08-27 16:41:20,926][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1385 path=outputs/online_tta/online_tta_adapters/tta_v1385
[2026-08-27 16:41:22,724][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1386 path=outputs/online_tta/online_tta_adapters/tta_v1386
[2026-08-27 16:41:24,510][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1387 path=outputs/online_tta/online_tta_adapters/tta_v1387
[2026-08-27 16:41:26,282][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1388 path=outputs/online_tta/online_tta_adapters/tta_v1388
[2026-08-27 16:41:27,955][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1389 path=outputs/online_tta/online_tta_adapters/tta_v1389
[2026-08-27 16:41:29,693][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1390 path=outputs/online_tta/online_tta_adapters/tta_v1390
[2026-08-27 16:41:31,415][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1391 path=outputs/online_tta/online_tta_adapters/tta_v1391
[2026-08-27 16:41:33,143][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1392 path=outputs/online_tta/online_tta_adapters/tta_v1392
[2026-08-27 16:41:34,885][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1393 path=outputs/online_tta/online_tta_adapters/tta_v1393
[2026-08-27 16:41:36,706][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1394 path=outputs/online_tta/online_tta_adapters/tta_v1394
[2026-08-27 16:41:38,469][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1395 path=outputs/online_tta/online_tta_adapters/tta_v1395
[2026-08-27 16:41:40,285][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1396 path=outputs/online_tta/online_tta_adapters/tta_v1396
[2026-08-27 16:41:42,020][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1397 path=outputs/online_tta/online_tta_adapters/tta_v1397
[2026-08-27 16:41:43,760][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1398 path=outputs/online_tta/online_tta_adapters/tta_v1398
[2026-08-27 16:41:45,586][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1399 path=outputs/online_tta/online_tta_adapters/tta_v1399
[2026-08-27 16:41:47,381][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v1400 path=outputs/online_tta/online_tta_adapters/tta_v1400
[1400/4329] acc=0.6436 pred=D gold=D loss=9.27811379369814e-06 (1.7s/sample)
